Bratislava I; 39 187; 24 952;63,67; 24 931; 24 836; 39 060; 24 191;61,93; 24 183; 23 847
Bratislava II; 104 219; 59 960;57,53; 59 933; 59 639; 103 335; 56 075;54,26; 56 051; 55 258
Bratislava III; 59 733; 36 371;60,88; 36 355; 36 202; 59 463; 34 609;58,20; 34 599; 34 093
Bratislava IV; 87 654; 52 700;60,12; 52 672; 52 469; 86 877; 49 092;56,50; 49 085; 48 325
Bratislava V; 100 898; 58 381;57,86; 58 343; 58 147; 100 942; 54 533;54,02; 54 505; 53 737
Malacky; 61 170; 31 588;51,63; 31 582; 31 425; 61 406; 27 722;45,14; 27 718; 27 247
Pezinok; 54 304; 33 651;61,96; 33 643; 33 508; 54 152; 30 243;55,84; 30 232; 29 770
Senec; 68 813; 41 533;60,35; 41 520; 41 332; 69 056; 37 470;54,26; 37 463; 36 841
Dunajska Streda; 101 705; 34 665;34,08; 34 651; 34 356; 101 890; 31 137;30,55; 31 125; 30 749
Galanta; 78 715; 34 512;43,84; 34 498; 34 270; 78 671; 29 285;37,22; 29 282; 28 840
Piestany; 53 072; 28 397;53,50; 28 384; 28 240; 52 949; 24 575;46,41; 24 570; 24 071
Senica; 50 209; 24 936;49,66; 24 936; 24 784; 50 550; 21 842;43,20; 21 839; 21 473
Skalica; 39 012; 19 943;51,12; 19 928; 19 817; 39 187; 17 072;43,56; 17 072; 16 769
Hlohovec; 36 908; 19 054;51,62; 19 044; 18 916; 36 809; 15 838;43,02; 15 836; 15 550
Trnava; 107 925; 59 033;54,69; 59 009; 58 698; 107 784; 51 122;47,43; 51 119; 50 116
Banovce nad Bebravou; 30 002; 16 100;53,66; 16 096; 16 019; 29 996; 13 426;44,75; 13 423; 13 162
Myjava; 22 278; 11 398;51,16; 11 398; 11 323; 22 379; 10 375;46,36; 10 375; 10 218
Nove Mesto nad Vahom; 51 365; 27 802;54,12; 27 799; 27 610; 51 362; 24 127;46,97; 24 124; 23 553
Povazska Bystrica; 51 662; 27 227;52,70; 27 222; 27 040; 51 636; 22 668;43,89; 22 664; 22 189
Puchov; 36 947; 19 277;52,17; 19 271; 19 152; 36 997; 16 538;44,70; 16 533; 16 164
Partizanske; 37 648; 19 383;51,48; 19 377; 19 270; 37 590; 16 009;42,58; 16 007; 15 691
Prievidza; 112 222; 59 629;53,13; 59 604; 59 211; 111 898; 50 107;44,77; 50 102; 49 102
Ilava; 48 987; 25 986;53,04; 25 973; 25 835; 48 767; 22 165;45,45; 22 160; 21 622
Trencin; 93 833; 52 720;56,18; 52 702; 52 355; 94 329; 46 861;49,67; 46 857; 45 818
Komarno; 84 974; 23 665;27,84; 23 661; 23 465; 84 973; 20 775;24,44; 20 775; 20 476
Levice; 92 987; 41 006;44,09; 41 003; 40 764; 92 720; 34 558;37,27; 34 556; 33 956
Nitra; 135 864; 70 015;51,53; 70 002; 69 669; 135 710; 59 884;44,12; 59 881; 58 839
Zlate Moravce; 34 536; 17 955;51,98; 17 951; 17 843; 34 522; 15 289;44,28; 15 289; 15 013
Nove Zamky; 117 262; 47 668;40,65; 47 659; 47 395; 117 209; 41 169;35,12; 41 166; 40 541
Sala; 42 856; 17 624;41,12; 17 617; 17 524; 42 851; 15 438;36,02; 15 436; 15 221
Topolcany; 59 823; 29 988;50,12; 29 984; 29 815; 59 842; 25 526;42,65; 25 525; 25 105
Cadca; 72 987; 33 978;46,55; 33 973; 33 756; 72 943; 28 232;38,70; 28 228; 27 683
Dolny Kubin; 31 400; 17 558;55,91; 17 550; 17 452; 31 272; 14 257;45,59; 14 255; 13 759
Liptovsky Mikulas; 61 172; 33 067;54,05; 33 064; 32 848; 60 745; 28 479;46,88; 28 474; 27 862
Martin; 78 588; 43 275;55,06; 43 270; 43 015; 78 449; 36 622;46,68; 36 622; 35 859
Turcianske Teplice; 13 619; 7 375;54,15; 7 375; 7 331; 13 714; 6 329;46,14; 6 328; 6 189
Namestovo; 46 005; 24 128;52,44; 24 121; 23 967; 45 911; 17 319;37,72; 17 315; 16 566
Tvrdosin; 28 265; 16 331;57,77; 16 325; 16 195; 28 224; 12 836;45,47; 12 834; 12 353
Ruzomberok; 47 451; 26 145;55,09; 26 125; 25 944; 47 390; 21 030;44,37; 21 026; 20 352
Bytca; 25 066; 12 629;50,38; 12 627; 12 549; 25 048; 10 268;40,99; 10 266; 10 056
Kysucke Nove Mesto; 26 740; 14 288;53,43; 14 281; 14 183; 26 735; 11 702;43,77; 11 700; 11 386
Zilina; 131 245; 72 920;55,56; 72 905; 72 537; 131 108; 62 153;47,40; 62 145; 60 831
Banska Bystrica; 91 492; 50 555;55,25; 50 536; 50 271; 90 805; 43 677;48,09; 43 661; 42 847
Brezno; 49 941; 22 943;45,94; 22 936; 22 764; 50 146; 19 337;38,56; 19 333; 18 955
Lucenec; 57 531; 21 321;37,06; 21 317; 21 151; 57 652; 17 995;31,21; 17 992; 17 669
Poltar; 17 408; 7 960;45,72; 7 957; 7 899; 17 385; 6 321;36,35; 6 320; 6 172
Revuca; 30 705; 10 583;34,46; 10 583; 10 479; 30 629; 8 431;27,52; 8 429; 8 267
Rimavska Sobota; 64 251; 21 671;33,72; 21 670; 21 423; 63 417; 16 981;26,77; 16 980; 16 631
Velky Krtis; 35 225; 14 084;39,98; 14 081; 13 967; 35 152; 11 320;32,20; 11 320; 11 063
Detva; 26 323; 12 684;48,18; 12 684; 12 607; 26 317; 10 403;39,52; 10 401; 10 158
Krupina; 17 836; 9 439;52,92; 9 431; 9 361; 17 832; 7 384;41,40; 7 381; 7 138
Zvolen; 55 618; 29 270;52,62; 29 265; 29 098; 55 544; 25 285;45,52; 25 282; 24 762
Banska Stiavnica; 13 214; 6 762;51,17; 6 762; 6 726; 13 254; 5 695;42,96; 5 693; 5 572
Zarnovica; 21 308; 10 798;50,67; 10 787; 10 705; 21 365; 8 754;40,97; 8 754; 8 509
Ziar nad Hronom; 37 923; 19 387;51,12; 19 377; 19 267; 37 872; 15 962;42,14; 15 960; 15 647
Bardejov; 59 910; 28 536;47,63; 28 527; 28 382; 59 770; 24 056;40,24; 24 055; 23 373
Humenne; 50 160; 22 381;44,61; 22 378; 22 219; 49 988; 18 845;37,69; 18 840; 18 441
Medzilaborce; 9 265; 3 810;41,12; 3 810; 3 774; 9 339; 3 351;35,88; 3 348; 3 297
Snina; 29 508; 11 195;37,93; 11 190; 11 136; 29 568; 9 637;32,59; 9 637; 9 475
Kezmarok; 52 474; 22 579;43,02; 22 575; 22 403; 52 236; 16 606;31,79; 16 604; 15 924
Levoca; 25 706; 11 625;45,22; 11 623; 11 551; 25 596; 9 392;36,69; 9 392; 9 050
Poprad; 84 173; 42 696;50,72; 42 679; 42 434; 83 073; 34 834;41,93; 34 828; 33 891
Presov; 133 786; 68 121;50,91; 68 108; 67 741; 133 071; 57 634;43,31; 57 627; 55 864
Sabinov; 43 703; 19 896;45,52; 19 894; 19 719; 43 559; 16 174;37,13; 16 174; 15 579
Stara Lubovna; 39 869; 17 718;44,44; 17 713; 17 575; 39 741; 14 470;36,41; 14 466; 13 934
Stropkov; 16 141; 7 395;45,81; 7 395; 7 336; 16 102; 6 478;40,23; 6 478; 6 315
Svidnik; 25 789; 11 655;45,19; 11 655; 11 591; 25 608; 9 744;38,05; 9 744; 9 509
Vranov nad Toplou; 60 693; 24 673;40,65; 24 664; 24 510; 60 713; 20 190;33,25; 20 178; 19 707
Kosice I; 54 540; 27 548;50,50; 27 541; 27 403; 54 133; 24 320;44,92; 24 315; 23 912
Kosice II; 65 197; 30 123;46,20; 30 113; 29 977; 64 778; 26 481;40,87; 26 476; 25 992
Kosice III; 23 991; 10 956;45,66; 10 951; 10 891; 23 883; 9 661;40,45; 9 661; 9 487
Kosice IV; 47 660; 23 514;49,33; 23 509; 23 410; 47 452; 20 897;44,03; 20 896; 20 497
Kosice - okolie; 96 611; 41 016;42,45; 41 002; 40 680; 96 687; 33 640;34,79; 33 635; 32 929
Michalovce; 86 702; 32 803;37,83; 32 800; 32 574; 85 994; 27 176;31,60; 27 174; 26 667
Sobrance; 17 913; 7 700;42,98; 7 699; 7 658; 17 895; 6 457;36,08; 6 456; 6 327
Roznava; 47 830; 18 027;37,68; 18 025; 17 886; 47 786; 14 780;30,92; 14 780; 14 493
Gelnica; 23 915; 9 225;38,57; 9 221; 9 161; 23 877; 7 371;30,87; 7 371; 7 175
Spisska Nova Ves; 73 532; 31 943;43,44; 31 942; 31 752; 73 318; 26 107;35,60; 26 106; 25 376
Trebisov; 81 882; 27 454;33,52; 27 448; 27 177; 81 895; 22 623;27,62; 22 623; 22 129
